username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
ikyyy.48,@racun_shopee1299 udah kaya knpa harus di bayar?,0,0,1,racun_shopee1299,Di endors berapa Bg eh maksudnya di kasih uang berapa M Bg
ekipantonii,All in anies,0,1,0,,
ekipantonii,@ekipantonii jadi ketua rt,0,0,1,ekipantonii,All in anies
anakbocil45,terpilih atau tidak terpilih bagi Paslon no 1 dan bagi Paslon no urut 3 itu berkah ji bagi rakyat. Kalo terpilih paslon no urut 2 itu tidak berkah bagi rakyat Indonesia karena Paslon no urut 2 melanggar aturan MKMK. Indonesia menjadi pemerintah haram kalo terpilih no urut 2 🔥🔥🔥🔥,0,0,0,,
langitbitu_77l,Kak fero 🔥✌️✌️✌️,1,0,0,,
hendralesmana_09,Mana Sanjaya_ms Tadi Kok Di Hapus Komentar Prestasi anies😂,0,1,0,,
hendralesmana_09,@hendralesmana_09 Jadinya Malu Sendiri Kan. Pendukung anies memang suka Membuat Malu diri sendiri😂😂😂,0,0,1,hendralesmana_09,Mana Sanjaya_ms Tadi Kok Di Hapus Komentar Prestasi anies😂
silvy_handayanii,02 Gemoyy ✌️,0,0,0,,
gustava1802,Aku setuju Pak Prabowo jadi presiden Indonesia dan wakilnya setuju Gibran  sukses ⭐♥️👍🇮🇩,0,0,0,,
putrynovia2,Tetep salfok sama yg pake topi senada smaa bajunya.. Padahal dia belakangin kamera ... 😍😍😍😍,2,0,0,,
herlina_1235,✌✌✌🥰✌🥰🥰✌✌✌❤❤❤❤💙💙💙💙💙🔥🔥🔥🇲🇨🇲🇨🇲🇨🇲🇨🤲🤲🤲,0,0,0,,
handihands,Klo soal Prabowo gua follow,0,0,0,,
obboyyyyy_,02,0,0,0,,
jerry_mandagie,All in Prabowo Gibran yeeee,0,0,0,,
mimpi08,Gas Tuama✌,0,0,0,,
arkikalalo,Nomor 2 Torang gas ✌️,0,0,0,,
sajariswandi,Selama 20 tahun bisnis saya macet karena tidak berkuasa. Udah mo bilang itu aja 😂,0,0,0,,
tinnoth,Suka deh..,0,0,0,,
gerrioxstar,Ganjar mahmud 🤘🤟🤟,0,0,0,,
dadanhermawan803,Amiiin pasti pemimpin dunia akhirat bisa sholat bisa ngaji,0,0,0,,
akmalia_maharani,Anis presiden,0,0,0,,
ulukwing,Pendukung 02 Ngeriiii Ngeriiii 😮,0,0,0,,
rian_ramadhan19,Halo kembaran 😂,0,0,0,,
mgeraldys,"Akting aja udha gausah ikut2 politik, indinesia butuh politisi yang kredibel bukan politisi yang jago tipu2depan kamera",3,0,0,,
vallerievee_,"Bismillah.. all in prabowo gibran 2024.. sebab sdh bosen dengar kata.kata perubahan, klo bisa ada jamin perubahan secara silakan buktikan tanpa harus tunggu jadi presiden dulu.. yg sdh di lakukan saja babak belur..hmm😂",0,0,0,,
abdullah__hs2,Kami dukung bapak menang,0,0,0,,
xssrlwy,PRABOWO-GIBRAN UNTUK INDONESIA MAJU 2024-2029! JANGAN LUPA COBLOS 02✌🏼🔥✌🏼🔥✌🏼🔥✌🏼,0,0,0,,
xssrlwy,PRABOWO-GIBRAN UNTUK INDONESIA MAJU 2024-2029! JANGAN LUPA COBLOS 02✌🏼🔥✌🏼🔥✌🏼🔥✌🏼,0,0,0,,
xssrlwy,awwwa,0,0,0,,
mey.anah,All in prabowo nih boss senggol dong,0,0,0,,
ria.fidi,AMIN❤️,0,0,0,,
fikriilahirobi25,@dino_fu_ kaya si dagol itu tong,0,0,0,,
meeeeaaa_____,sehat selalu pak @prabowo ❤️,0,0,0,,
raih_gantina,Okey gas Okey gas 02 gaskeun 😍,0,0,0,,
dewimurjaan,Gaaaassskan Sumbar ✌️,0,0,0,,
haeraajimayu,Dua menang 1 putaran🤲🥰😍♥️,0,0,0,,
rizki_septi91,✌️❤️,0,0,0,,
khikmatulislamia,PRABOWO GIBRAN,0,0,0,,
den_derr,oke gas oke gas @prabowo Ri 1,0,0,0,,
luc_lucky29,All in Prabowo,0,0,0,,
kartika_imel,insya Allah all in prabowo gibran 2 🤗✌️❤️❤️❤️,0,0,0,,
bolususuelis,PRABOWO GIBRAN🙌,0,0,0,,
pwc_intermedia,"Tetep 02 , Prabowo & Gibran ✌️✌️✌️",0,0,0,,
meiskekaunang71,Satu putaran Prabowo Gibran 💪💪💪,0,0,0,,
jali_arga123,❤️❤️❤️❤️❤️❤️,0,0,0,,
jali_arga123,😍😍😍😍😍,0,0,0,,
larasmylonia,Bapak presiden ku❤️,0,0,0,,
ikhlaspz,All in PRABOWO GIBRAN🔥🔥🔥,0,0,0,,
chefer_ocs,ALL IN PRABOWO GIBRAN✌🏻💙,0,0,0,,
rezkypr24,✌️✌️✌️,0,0,0,,
terusbelajarbaik,"Bismillah.pemimpin yg cerdas, santun , menjunjung tinggi etika ya AMIN❤️",0,0,0,,
mrs.tlflo,❤️❤️❤️✌🏻✌🏻✌🏻🙌🏻🙌🏻🙌🏻,0,0,0,,
razkiara16,✌️,0,0,0,,
la.j.umr,Kalau pak prabowo mantap👍👍👍,0,0,0,,
silfiemustikaaa,✌️✌️✌️,0,0,0,,
zhepty7,✌✌✌✌😘😘❤❤❤,0,0,0,,
donirodiansa,Warga Aceh All in Prabowo Gibran 🔥🔥,0,0,0,,
fhmnjrdn,🔥,0,0,0,,
mozaprincess,✌️✌️😍😍,0,0,0,,
