username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
khoirulauni_,Gak ada gagasannya 😢😢😢 joget tok😢,0,0,0,,
yulcahyani63,Pelanggaran konstitusi kok di dukung Aneh,0,0,0,,
muhlis.idrus,milih Anies aja dulu.. 😍,0,0,0,,
suhendroputracerbon,"Tetep 02 ga akan rubah,,,salam 2 jari",0,0,0,,
iezl3maldini,Udh mw roboh😢,0,0,0,,
frasetioanton,Al in Prabowo gibran,0,0,0,,
ndower_dd4,10 artis di duga 😂,0,0,0,,
munaalwy_,Ayo pak joged teruss joged aja terus😂 sambil nyinyirin paslon lain😂,0,0,0,,
_arum_m,Saya sayang bapak Prabowo 😍,0,0,0,,
achmadkohler96,"Cobak 02 kampanye gk bawak artis, pasti sepii 😂",0,0,0,,
wiwik_wulan_fitriani,Sehat terus bapak presiden ke 8..,0,0,0,,
zakkir_1046,Bisanya joget,0,0,0,,
ianirawannn,Isinya badut semua🤣🤣,0,0,0,,
suparno6527,✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌🏻✌🏻✌🏽✌🏾✌🏿✌🏿✌🏿✌🏾✌🏽✌🏻✌️✌️✌️✌🏼✌🏽✌🏿✌🏾✌🏽✌🏼✌🏻,0,0,0,,
suparno6527,"Pak Prabowo Jgn nangis2 ya.., kayak yang bakal kalah ituloh..trs gass kan pak hibur rakyatmu..biar riang gembira nanti Allah balas melalui rakyatmu juga bikin Bapak riang gembira di tgl 14-2-2024..amin yarobbal alamin",0,0,0,,
fernandes_panggabean,Ganjar mahfud 🤟,0,0,0,,
khoirotun684,Tetep AMIN 01 ja dulu,0,0,0,,
riyadi.soeprapto,🔥🔥🔥🔥🔥,0,0,0,,
bu_yanti18,02 merapat rame2 coblos 02,0,0,0,,
fakhri_zoe,"WAHAI SAUDARAKU SEMUANYA  Jadilah pemilih yang RASIONAL yakni membandingkan antara ketiganya cara yang paling mudah, tonton platform2 yang mengundang ketiga Paslon tersebut, KADIN, KPK, dsb. bandingkan dan Tentukan 🫶 #JanganGolput #PemilihRasionalitas",0,0,0,,
sangilang22,Kampanye paling gak berfaedah!!!!!joged joged dan joged sama si sama lo juga kan suka JOGED juga yehh!!!!!,0,0,0,,
rahim_eka_haryanto_,Doraemon 😂,0,0,0,,
