username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
ciell.jpg_,mending jual goyang dri pada adu akting curhatan rakyat rupnya rakyat nya nyaleg wkwkkw,0,0,0,,
auliasoraya821,AMIN ☝🏻❤️❤️❤️,0,0,0,,
iannfww,AMIN AJA DULU ☝️,0,0,0,,
aisyah_ainapitupulu11,🔥🔥🔥,0,0,0,,
kallell95,Postingan have fun kampanye gini aj pendukung 01 dan 03! Bacotnya diluar nalar pula 😂. ALL IN 02 PAH 👏🔥🔥🔥🔥,0,0,0,,
kyai.amar,MADEP MANTEB PILIH MAS WOWOK,0,0,0,,
rudin7128,Manfaat buat rakyat apa yah😢,0,0,0,,
rasyidzuwendy,Badut tetap lah badut,0,0,0,,
rezafahlevi20,Gak ngerti ama konsep kampanye  nya gimana,0,0,0,,
fikriathiii,banyak senam cfd ya skrg 😂😂😂,0,0,0,,
meysen.ngalo,✌️✌️,0,0,0,,
ihsann_nurfahmi,Perasaan piala dunia dah lewat kok masih beginii??🗿,0,0,0,,
sintaagr___,KAMI BUTUH PRESIDEN BUKAN BADUT🙏🙏🙏🙏,0,0,0,,
mhmmdfaisal120,"Cair lagi yoo brooo🤣😢. Ingat bro, ini negara",0,0,0,,
mhmmdfaisal120,😢😢,0,0,0,,
anita_aditia437,All in 02 🔥🔥,0,0,0,,
nabilahmjdh,Salam perubahan 01 AMIN pasti jdi presiden 2024❤️ #salamperubahan☝️,2,0,0,,
tio_nanda_saputra98,"Jadi bingung pilih siapa coba gagasan nya cuma joget2 aja, diberi susu lalu apa lagi😢😢😢",0,0,0,,
riadi1970,Miskin visi misi cuma joget dan kalian semua bangga .minum asam sulfat ya 😀😀😀😀😀,0,0,0,,
pipittt26_,Ga seramai sblah .. Yuhuuu 😂,0,0,0,,
djhydrographic,Prabowo Gibran 🇲🇨 ✌️ 🇲🇨 No Debat 🙏,0,0,0,,
